Phase,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,JavaScript Code Structure & Hygiene,Structure,Code Audit,Consistent coding style,High,Yes,,,
Development,JavaScript Code Structure & Hygiene,Structure,Code Audit,Avoid deeply nested callbacks,High,Yes,,,
Development,JavaScript Code Structure & Hygiene,Structure,Code Audit,Call chain depth <=4 levels; wrapper functions that only delegate flagged; files with >80% re-exports flagged,Medium,No,,,
Development,JavaScript Code Structure & Hygiene,Structure,Code Audit,"All external inputs are validated, sanitized, and securely handled to prevent errors, misuse, and security vulnerabilities",Medium,Yes,,,
Development,JavaScript Code Structure & Hygiene,Structure,Code Audit,No unreachable code,Medium,No,,,
Development,JavaScript Code Structure & Hygiene,Structure,Code Audit,No empty catch blocks,Medium,Yes,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Code Audit,WCAG 2.1 AA compliance met,Critical,Yes,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Code Audit,Announce dynamic content changes,Medium,Yes,,,
Accessibility,Accessibility - Components & Content,Components,Code Audit,Modal/dialog elements have role='dialog' or role='alertdialog' with aria-modal='true' and aria-labelledby/aria-label; keydown handler for Escape key present in source; focusable elements exist inside dialog container,High,Yes,,,
Accessibility,Accessibility - Components & Content,Components,Code Audit,<video> elements have <track kind='captions'> with valid non-empty src,Medium,Yes,,,
Accessibility,Accessibility - Components & Content,Components,Code Audit,<audio> elements have adjacent transcript link or aria-describedby pointing to transcript content; transcript container visible (not display:none/visibility:hidden),Medium,Yes,,,
Accessibility,Accessibility - Components & Content,Components,Code Audit,No focus-trap calls outside of modal/dialog components; no keydown handlers that programmatically restrict Tab key to a subset of elements on non-modal pages,Medium,Yes,,,
Accessibility,Accessibility - CSS,Focus,Code Audit,Visible focus styles present,Critical,Yes,,,
Accessibility,Accessibility - CSS,Visual,Code Audit,All CSS :hover rules have corresponding :focus or :focus-visible rules on the same selectors,Medium,Yes,,,
Accessibility,Accessibility - CSS,Visual,Code Audit,Visually-hidden patterns (.sr-only/.visually-hidden) use approved clip/position technique; no display:none or visibility:hidden on screen-reader-targeted text,Medium,Yes,,,
Security,Security - Client-Side Code,Scripts,Code Audit,No eval() or Function(string) usage,Critical,Yes,,,
Security,Security - Client-Side Code,Scripts,Code Audit,No document.write or document.writeln,Critical,Yes,,,
Security,Security - Client-Side Code,Scripts,Code Audit,External scripts use Subresource Integrity (SRI) where applicable,High,Yes,,,
Security,Security - Client-Side Code,Scripts,Code Audit,No unsanitized user input in innerHTML or dangerous sinks,Critical,Yes,,,
Security,Security - Data & Secrets,Secrets,Code Audit,No hardcoded API keys or secrets in source,Critical,Yes,,,
Security,Security - Data & Secrets,Secrets,Code Audit,No credentials or tokens in URLs or query parameters,High,Yes,,,
Security,Security - Data & Secrets,Secrets,Code Audit,No sensitive data in client-side comments or console logs,Medium,No,,,
Security,Security - Data & Secrets,Storage,Code Audit,No insecure storage usage (localStorage/sessionStorage/Cookies or other browser storage for secrets),Critical,Yes,,,
Security,Security - Data & Secrets,Storage,Code Audit,No PII stored in cookies or browser storage without encryption or consent,Critical,Yes,,,
Security,Security - Dependencies,Dependencies,Code Audit,No known vulnerable dependencies (npm audit / Snyk),Critical,Yes,,,
Security,Security - Forms & Input,Input,Code Audit,No sensitive data exposed in client-visible IDs or data attributes,Medium,No,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Code Audit,Zero lint errors (ESLint/Stylelint),Critical,Yes,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No unused variables,Critical,Yes,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No unused functions,Critical,Yes,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No unused imports,Critical,Yes,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No dead code paths,High,Yes,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No dead code files (unreferenced modules),High,Yes,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No commented-out production code,High,Yes,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No implicit globals,High,Yes,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Code Audit,Consistent file structure,Medium,Yes,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No duplicated constants,Medium,Yes,,,
Development,Code Quality - Structure & Readability,Structure,Code Audit,Variable names >2 characters (excluding loop iterators i/j/k/x/y); no single-letter variables outside loops; no anti-pattern names (temp/tmp/data/val/stuff/thing/foo/bar without qualifier); camelCase or snake_case consistent per file,High,Yes,,,
Development,Code Quality - Structure & Readability,Structure,Code Audit,Function names start with verb (get/set/is/has/should/create/update/delete/handle/render/fetch/parse/validate/transform/format/check/find/load/save/remove/add/init/build/compute/on); names >4 characters; no generic names (doStuff/handleIt/process/run without descriptive suffix),High,Yes,,,
Development,Code Quality - Structure & Readability,Structure,Code Audit,Consistent naming conventions,High,Yes,,,
Development,Code Quality - Structure & Readability,Structure,Code Audit,No nested ternary expressions beyond 1 level; no if/else chains >4 branches (suggest switch/object-map); boolean expressions <=3 conditions per statement; complex boolean expressions without intermediate named variable flagged,High,Yes,,,
Development,Code Quality - Structure & Readability,Structure,Code Audit,Functions with if-block wrapping >80% of function body flagged for guard-clause inversion; nested if-else >3 levels deep where outermost condition is validation/type-check flagged for early return,Medium,Yes,,,
Development,Code Quality - Structure & Readability,Structure,Code Audit,Average file size under 500 LOC; functions under 40 lines; module boundaries well-defined,Medium,Yes,,,
Development,Code Quality - Structure & Readability,Structure,Code Audit,Files have single responsibility and clear module boundaries,Medium,Yes,,,
Development,Code Quality - Structure & Readability,Structure,Code Audit,README present,Medium,Yes,,,
Development,Code Quality - Errors & Reliability,Reliability,Code Audit,Consistent error handling strategy,Critical,Yes,,,
Development,Code Quality - Errors & Reliability,Reliability,Code Audit,Errors logged meaningfully,High,Yes,,,
Development,Code Quality - Errors & Reliability,Reliability,Code Audit,Errors fail gracefully,High,Yes,,,
Development,Code Quality - Errors & Reliability,Reliability,Code Audit,Avoid magic numbers,Medium,Yes,,,
Development,Code Quality - Errors & Reliability,Reliability,Code Audit,Constants centralized,Medium,Yes,,,
Development,Code Quality - Errors & Reliability,Reliability,Code Audit,Config-driven behavior,Medium,Yes,,,
Development,Code Quality - Errors & Reliability,Reliability,Code Audit,Shared utilities extracted,Medium,Yes,,,
Development,Code Quality - Errors & Reliability,Reliability,Code Audit,Duplicate code percentage within standard threshold,High,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Code Audit,No hardcoded environment values,High,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Code Audit,Avoid circular dependencies,High,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Code Audit,No stale TODO/FIXME comments; no comments referencing symbols that do not exist in scope; no commented-out code blocks,Medium,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Code Audit,commented-out code blocks >3 lines flagged; TODO/FIXME without issue-tracker reference flagged; ,Medium,Yes,,,
Development,HTML Metadata & Validation,Metadata,Code Audit,"Charset meta tag (<meta charset=""UTF-8"">) declared in <head> before any content-producing elements; charset declaration appears within first 1024 bytes of document",Critical,Yes,,,
Development,HTML Metadata & Validation,Metadata,Code Audit,Language attribute (lang) on <html> element is a valid BCP 47 tag matching page content language; lang attribute not empty or set to 'undefined',High,Yes,,,
Development,HTML Metadata & Validation,Metadata,Code Audit,Direction attribute (dir) specified on <html> or relevant container elements for RTL language pages; value is 'ltr' or 'rtl' matching content language direction,Medium,No,,,
Development,CSS Architecture & Tokens,Maintainability,Code Audit,"If CSS print stylesheet (@media print) is defined, print styles hide non-essential UI elements (navigation/footer/sidebar/ads)",Medium,No,,,
Development,CSS Architecture & Tokens,Design Tokens,Code Audit,Font-family declarations defined at :root or body level using CSS custom properties; component-level stylesheets reference font-family tokens instead of hardcoding font names,High,Yes,,,
Development,HTML Media & Data,Images,Code Audit,Content <img> elements have explicit width and height HTML attributes or CSS aspect-ratio set to reserve layout space and prevent CLS,High,Yes,,,
Development,JavaScript Code Structure & Hygiene,Structure,Code Audit,No unused npm/yarn packages in package.json; depcheck or npm-check analysis confirms all listed dependencies are imported in source code,High,Yes,,,
Development,JavaScript State & Reliability,State,Code Audit,No setState/dispatch/state-mutation calls inside for/while/do-while/forEach/map/reduce loops; state updates batched or moved outside iteration blocks,High,Yes,,,
Development,JavaScript Code Structure & Hygiene,Structure,Code Audit,No unused component props passed from parent to child; unused prop detection via static analysis or TypeScript strict mode,Medium,No,,,
Process & Governance,Version Control & Repository,VCS,Code Audit,Git repository initialized with .git directory present; remote origin configured; repository is not in detached HEAD state,Critical,Yes,,,
Process & Governance,Version Control & Repository,VCS,Code Audit,.gitignore file present and includes standard exclusions (node_modules; dist/build output; .env files; OS files; IDE config); no build artifacts or dependency folders committed,Critical,Yes,,,
Process & Governance,Version Control & Repository,VCS,Code Audit,Package lock file (package-lock.json or yarn.lock) committed to repository; lock file version matches package.json dependencies; no conflicting lock files present,High,Yes,,,
Process & Governance,Testing & Quality Gates,Quality,Code Audit,Pre-commit hooks configured (husky; lint-staged; or lefthook); hooks run linting and formatting before each commit; .husky directory or equivalent present,High,Yes,,,
Process & Governance,Project Configuration,Config,Code Audit,Node.js version specified via engines field in package.json; version is LTS or current stable,High,Yes,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,Code Audit,Hardcoded mock data or example values left in production code (e.g. 'John Doe'; 'test@example.com'; 'Lorem ipsum'; '123 Main St'; placeholder UUIDs); regex pattern scan across source files,High,Yes,,,
